"ema","institucion","nombre_ema","comuna","region","latitud","longitud","fecha_de_alta"
1,"FDF","Azapa1","Arica","Arica y Parinacota",-18.509638889,-70.248055554,2013-03-08 06:49:10
3,"FDF","Tranque Lautaro","Tierra Amarilla","Atacama",-27.975583333,-70,2013-03-08 06:49:12
5,"FDF","Hornitos","Tierra Amarilla","Atacama",-27.728888889,-70.196666667,2013-03-08 06:49:12
16,"FDF","Combarbalá","Combarbalá","Coquimbo",-31.188333333,-70.998888889,2013-03-08 06:49:11
18,"FDF","Illapel","Illapel","Coquimbo",-31.731055556,-71.205555556,2013-03-08 06:49:11
19,"FDF","Salamanca","Salamanca","Coquimbo",-31.787388889,-70.959611111,2013-03-08 06:49:12
21,"FDF","Petorca","Cabildo","Valparaíso",-32.396666667,-71.029444444,2013-03-08 06:49:10
24,"FDF","Calle Larga","Calle Larga","Valparaíso",-32.870555556,-70.646111111,2013-03-08 06:49:10
27,"FDF","Putaendo","Putaendo","Valparaíso",-32.593694444,-70.726111111,2013-03-08 06:49:12
28,"FDF","Santa María","Santa María","Valparaíso",-32.749166667,-70.660277778,2013-03-08 06:49:12
29,"FDF","Panquehue","Panquehue","Valparaíso",-32.756638889,-70.808833333,2013-03-08 06:49:11
35,"FDF","Hijuelas","Hijuelas","Valparaíso",-32.847944444,-71.067083333,2013-03-08 06:49:11
36,"FDF","Limache","Limache","Valparaíso",-32.994444444,-71.260666667,2013-03-08 06:49:11
42,"FDF","Pirque","Pirque","Metropolitana",-33.673888889,-70.586944444,2013-03-08 06:49:12
43,"FDF","Buin","Buin","Metropolitana",-33.707361111,-70.701555556,2013-03-08 06:49:10
44,"FDF","Melipilla","El Monte","Metropolitana",-33.65,-71.1,2013-03-08 06:49:11
45,"FDF","TALAGANTE","Talagante","Metropolitana",-33.67325,-70.921138889,2013-03-08 06:49:12
46,"FDF","LO HERRERA","San Bernardo","Metropolitana",-33.662888889,-70.765916667,2013-03-08 06:49:12
47,"FDF","HUELQUEN","Paine","Metropolitana",-33.862083333,-70.639194444,2013-03-08 06:49:11
48,"FDF","COLINA","Colina","Metropolitana",-33.218777778,-70.715833333,2013-03-08 06:49:11
66,"FDF","Olivar Alto","Olivar","O'Higgins",-34.203055556,-70.824166667,2013-03-08 06:49:11
69,"FDF","Coltauco","Coltauco","O'Higgins",-34.237777778,-71.005,2013-03-08 06:49:11
72,"FDF","El Carmen","San Fernando","O'Higgins",-34.608055556,-70.975,2013-03-08 06:49:12
77,"FDF","Lolol","Lolol","O'Higgins",-34.713611111,-71.629722222,2013-03-08 06:49:11
